Date Prec Temp PET Qobs
1 0 13.75 1.96 3.74
2 1.9 13.25 1.88 4.27
3 0 11.85 1.71 3.64
4 0 11.45 1.65 3.22
5 0 12.35 1.71 2.94
6 0 14.75 1.92 2.77
7 0 16.25 2.03 2.49
8 1.7 16.75 2.05 2.43
9 0 16.75 2.02 2.52
10 20.9 15.35 1.86 16.69
11 0 11.95 1.52 9.8
12 0 12.55 1.55 6.95
13 0 15.95 1.82 5.77
14 0 16.15 1.81 5.14
15 0 17.45 1.88 5.51
16 6.6 13.95 1.56 8.62
17 0 12.85 1.45 6.21
18 0 12.35 1.38 5.24
19 0 13.15 1.42 4.61
20 0 13.05 1.38 4.23
21 5.7 13.05 1.36 5.45
22 0 13.15 1.34 6.04
23 4.3 10.15 1.1 5.58
24 0.1 10.65 1.11 4.71
25 0.5 14.85 1.38 5.2
26 0.1 12.05 1.16 7.05
27 14 9.45000000000005 0.96 15.21
28 0.8 11.65 1.09 11.75
29 4.7 10.25 0.98 11.74
30 0 7.85000000000002 0.8 8.55
31 0 6.55000000000001 0.71 7.09
32 0 6.05000000000001 0.66 6.2
33 0 5.25 0.6 5.58
34 0 4.85000000000002 0.56 5.12
35 0 4.15000000000003 0.51 4.7
36 0 5.65000000000003 0.58 4.38
37 0 9.25 0.76 4.14
38 0.3 5.35000000000002 0.54 3.81
39 1.8 4.35000000000002 0.48 3.75
40 0 4.35000000000002 0.46 3.63
41 0 2.35000000000002 0.36 3.26
42 0 1.45000000000005 0.31 2.94
43 0 0.350000000000023 0.25 2.65
44 0 0.450000000000045 0.25 2.6
45 0 2.35000000000002 0.32 2.71
46 1.8 3.75 0.37 2.75
47 6 4.85000000000002 0.41 3.64
48 1.4 5.95000000000005 0.44 4.24
49 0.6 6.35000000000002 0.45 4.24
50 1.2 5.65000000000003 0.41 3.99
51 0.2 3.85000000000002 0.33 3.47
52 1.5 1.95000000000005 0.25 2.96
53 4.8 2.25 0.26 3.23
54 2.5 3.55000000000001 0.29 3.26
55 0 3.15000000000003 0.27 3.14
56 0.2 2.85000000000002 0.25 3.15
57 0.1 5.55000000000001 0.33 4.65
58 0.6 5.95000000000005 0.33 3.67
59 0 5.55000000000001 0.31 3.63
60 0.4 5.35000000000002 0.3 5.32
61 7.6 5.55000000000001 0.3 9.12
62 0.6 4.05000000000001 0.25 6.06
63 0 -0.649999999999977 0.11 3.51
64 0 -2.94999999999999 0.05 3.34
65 7.9 -1.54999999999995 0.09 3.77
66 11.5 -1.54999999999995 0.08 3.4
67 2.4 -5.25 0 3.33
68 0 -7.84999999999997 0 3.73
69 0.5 -6.14999999999998 0 4.14
70 0.4 -5.75 0 3.9
71 0 -6.54999999999995 0 3.43
72 0 -7.14999999999998 0 3.63
73 1.9 -3.64999999999998 0.03 4.07
74 0 0.0500000000000114 0.09 3.67
75 5.2 1.25 0.11 4.62
76 0 2.85000000000002 0.14 4.98
77 3.8 1.35000000000002 0.11 3.99
78 5.1 -0.449999999999989 0.08 3.77
79 1.8 -0.549999999999955 0.07 3.52
80 3.6 -1.84999999999997 0.05 3.34
81 7.5 -0.549999999999955 0.07 3.23
82 6.8 -1.04999999999995 0.06 3.28
83 3.3 1.25 0.09 3.73
84 0 2.45000000000005 0.1 3.53
85 0 0.950000000000045 0.08 3.51
86 0 5.75 0.14 6.07
87 0 4.75 0.12 4.36
88 0 -0.75 0.05 3.36
89 0 -2.75 0.03 4.62
90 0 0.650000000000034 0.07 3.33
91 0 0.550000000000011 0.06 3.13
92 0 0.950000000000045 0.07 2.6
93 0.1 -0.25 0.05 2.9
94 0 0.850000000000023 0.06 2.78
95 0 4.95000000000005 0.1 2.71
96 0 4.15000000000003 0.09 2.01
97 0.1 -3.25 0.02 2.3
