      Date       Prec       Temp        PET       Qobs
2020-09-01          0      13.75       1.96       3.74
2020-09-02        1.9      13.25       1.88       4.27
2020-09-03          0      11.85       1.71       3.64
2020-09-04          0      11.45       1.65       3.22
2020-09-05          0      12.35       1.71       2.94
2020-09-06          0      14.75       1.92       2.77
2020-09-07          0      16.25       2.03       2.49
2020-09-08        1.7      16.75       2.05       2.43
2020-09-09          0      16.75       2.02       2.52
2020-09-10       20.9      15.35       1.86      16.69
2020-09-11          0      11.95       1.52        9.8
2020-09-12          0      12.55       1.55       6.95
2020-09-13          0      15.95       1.82       5.77
2020-09-14          0      16.15       1.81       5.14
2020-09-15          0      17.45       1.88       5.51
2020-09-16        6.6      13.95       1.56       8.62
2020-09-17          0      12.85       1.45       6.21
2020-09-18          0      12.35       1.38       5.24
2020-09-19          0      13.15       1.42       4.61
2020-09-20          0      13.05       1.38       4.23
2020-09-21        5.7      13.05       1.36       5.45
2020-09-22          0      13.15       1.34       6.04
2020-09-23        4.3      10.15        1.1       5.58
2020-09-24        0.1      10.65       1.11       4.71
2020-09-25        0.5      14.85       1.38        5.2
2020-09-26        0.1      12.05       1.16       7.05
2020-09-27         14       9.45       0.96      15.21
2020-09-28        0.8      11.65       1.09      11.75
2020-09-29        4.7      10.25       0.98      11.74
2020-09-30          0       7.85        0.8       8.55
2020-10-01          0       6.55       0.71       7.09
2020-10-02          0       6.05       0.66        6.2
2020-10-03          0       5.25        0.6       5.58
2020-10-04          0       4.85       0.56       5.12
2020-10-05          0       4.15       0.51        4.7
2020-10-06          0       5.65       0.58       4.38
2020-10-07          0       9.25       0.76       4.14
2020-10-08        0.3       5.35       0.54       3.81
2020-10-09        1.8       4.35       0.48       3.75
2020-10-10          0       4.35       0.46       3.63
2020-10-11          0       2.35       0.36       3.26
2020-10-12          0       1.45       0.31       2.94
2020-10-13          0       0.35       0.25       2.65
2020-10-14          0       0.45       0.25        2.6
2020-10-15          0       2.35       0.32       2.71
2020-10-16        1.8       3.75       0.37       2.75
2020-10-17          6       4.85       0.41       3.64
2020-10-18        1.4       5.95       0.44       4.24
2020-10-19        0.6       6.35       0.45       4.24
2020-10-20        1.2       5.65       0.41       3.99
2020-10-21        0.2       3.85       0.33       3.47
2020-10-22        1.5       1.95       0.25       2.96
2020-10-23        4.8       2.25       0.26       3.23
2020-10-24        2.5       3.55       0.29       3.26
2020-10-25          0       3.15       0.27       3.14
2020-10-26        0.2       2.85       0.25       3.15
2020-10-27        0.1       5.55       0.33       4.65
2020-10-28        0.6       5.95       0.33       3.67
2020-10-29          0       5.55       0.31       3.63
2020-10-30        0.4       5.35        0.3       5.32
2020-10-31        7.6       5.55        0.3       9.12
2020-11-01        0.6       4.05       0.25       6.06
2020-11-02          0      -0.65       0.11       3.51
2020-11-03          0      -2.95       0.05       3.34
2020-11-04        7.9      -1.55       0.09       3.77
2020-11-05       11.5      -1.55       0.08        3.4
2020-11-06        2.4      -5.25          0       3.33
2020-11-07          0      -7.85          0       3.73
2020-11-08        0.5      -6.15          0       4.14
2020-11-09        0.4      -5.75          0        3.9
2020-11-10          0      -6.55          0       3.43
2020-11-11          0      -7.15          0       3.63
2020-11-12        1.9      -3.65       0.03       4.07
2020-11-13          0       0.05       0.09       3.67
2020-11-14        5.2       1.25       0.11       4.62
2020-11-15          0       2.85       0.14       4.98
2020-11-16        3.8       1.35       0.11       3.99
2020-11-17        5.1      -0.45       0.08       3.77
2020-11-18        1.8      -0.55       0.07       3.52
2020-11-19        3.6      -1.85       0.05       3.34
2020-11-20        7.5      -0.55       0.07       3.23
2020-11-21        6.8      -1.05       0.06       3.28
2020-11-22        3.3       1.25       0.09       3.73
2020-11-23          0       2.45        0.1       3.53
2020-11-24          0       0.95       0.08       3.51
2020-11-25          0       5.75       0.14       6.07
2020-11-26          0       4.75       0.12       4.36
2020-11-27          0      -0.75       0.05       3.36
2020-11-28          0      -2.75       0.03       4.62
2020-11-29          0       0.65       0.07       3.33
